Attrition,BusinessTravel,CF_ageband,CF_attritionlabel,Department,EducationField,EmployeeNumber,Gender,JobRole,MaritalStatus,OverTime,Over18,TrainingTimesLastYear,Age,CF_currentEmployee,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,Non-Travel,25 - 34,Current Employees,Sales,Marketing,523,Female,Sales Executive,Married,No,Y,3,34,1,4,Master's Degree,1,3,72,3,2,3,6538,12740,9,15,3,1,80,1,6,3,3,2,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,524,Female,Manufacturing Director,Married,No,Y,5,31,1,7,Associates Degree,1,2,31,3,2,1,4306,4156,1,12,3,2,80,1,13,1,13,10,3,12
No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,525,Male,Laboratory Technician,Married,No,Y,1,43,1,21,Bachelor's Degree,1,4,61,3,1,4,2258,15238,7,20,4,1,80,1,8,3,3,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,526,Female,Healthcare Representative,Divorced,Yes,Y,3,43,1,8,Master's Degree,1,3,74,3,2,3,4522,2227,4,14,3,4,80,0,8,3,5,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,527,Female,Sales Executive,Single,Yes,Y,3,25,1,4,Associates Degree,1,2,99,2,2,4,4487,12090,1,11,3,2,80,0,5,3,5,4,1,3
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,529,Female,Research Scientist,Married,Yes,Y,2,37,1,25,Doctoral Degree,1,2,72,3,2,3,4449,23866,3,15,3,1,80,2,15,3,13,11,10,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,530,Male,Laboratory Technician,Married,No,Y,3,31,1,1,Associates Degree,1,4,98,2,1,1,2218,16193,1,12,3,3,80,1,4,3,4,2,3,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,531,Male,Manager,Divorced,Yes,Y,3,39,1,1,High School,1,2,52,3,5,3,19197,8213,1,14,3,3,80,1,21,3,21,8,1,6
No,Travel_Frequently,Over 55,Current Employees,Sales,Life Sciences,532,Female,Sales Executive,Married,No,Y,0,56,1,6,Bachelor's Degree,1,3,86,4,4,1,13212,18256,9,11,3,4,80,3,36,2,7,7,7,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,533,Female,Sales Executive,Single,No,Y,6,30,1,12,Bachelor's Degree,1,2,83,3,2,3,6577,19558,0,11,3,2,80,0,6,3,5,4,4,4
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,534,Male,Sales Executive,Married,No,Y,2,41,1,1,Bachelor's Degree,1,2,49,4,3,1,8392,19566,1,16,3,3,80,1,10,3,10,7,0,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,536,Male,Laboratory Technician,Divorced,No,Y,2,28,1,17,Associates Degree,1,3,79,3,2,1,4558,13535,1,12,3,4,80,1,10,3,10,0,1,8
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,538,Male,Laboratory Technician,Married,No,Y,5,25,0,3,Bachelor's Degree,1,1,91,3,1,1,4031,9396,5,13,3,3,80,1,6,3,2,2,0,2
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,543,Male,Manufacturing Director,Married,Yes,Y,4,52,1,3,Bachelor's Degree,1,4,39,2,3,3,7969,19609,2,14,3,3,80,0,28,3,5,4,0,4
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,544,Male,Research Scientist,Married,No,Y,3,45,1,10,Associates Degree,1,1,69,3,1,4,2654,9655,3,21,4,4,80,2,8,2,2,2,0,2
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,546,Female,Manager,Married,No,Y,2,52,1,4,Associates Degree,1,4,30,3,4,4,16555,10310,2,13,3,4,80,0,31,1,5,2,1,4
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,547,Female,Research Scientist,Divorced,No,Y,3,42,1,29,Associates Degree,1,1,92,3,2,3,4556,12932,2,11,3,2,80,1,19,3,5,4,0,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,548,Female,Manufacturing Director,Single,No,Y,2,30,1,2,Bachelor's Degree,1,3,43,1,2,4,6091,24793,2,20,4,3,80,0,11,3,5,4,0,2
No,Travel_Rarely,Over 55,Current Employees,R&D,Life Sciences,549,Female,Manager,Married,No,Y,5,60,1,7,Bachelor's Degree,1,1,41,3,5,1,19566,3854,5,11,3,4,80,0,33,1,29,8,11,10
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,550,Female,Manufacturing Director,Divorced,No,Y,5,46,1,18,Bachelor's Degree,1,3,87,3,2,3,4810,26314,2,14,3,3,80,1,19,2,10,7,0,8
No,Travel_Frequently,35 - 44,Current Employees,R&D,Technical Degree,551,Female,Healthcare Representative,Married,No,Y,4,42,1,28,Master's Degree,1,4,88,2,2,4,4523,4386,0,11,3,4,80,3,7,4,6,5,0,4
Yes,Travel_Rarely,Under 25,Ex-Employees,Sales,Technical Degree,554,Female,Sales Representative,Single,Yes,Y,4,24,0,1,High School,1,1,62,3,1,2,3202,21972,1,16,3,2,80,0,6,3,5,3,1,4
Yes,Travel_Frequently,25 - 34,Ex-Employees,Sales,Marketing,555,Female,Sales Representative,Divorced,No,Y,3,34,0,6,Associates Degree,1,4,33,1,1,3,2351,12253,0,16,3,4,80,1,3,2,2,2,1,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,556,Male,Laboratory Technician,Married,Yes,Y,3,38,1,2,Associates Degree,1,4,42,3,1,4,1702,12106,1,23,4,3,80,1,1,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Life Sciences,558,Female,Manager,Married,No,Y,2,40,1,2,Master's Degree,1,3,79,3,5,3,18041,13022,0,14,3,4,80,0,21,3,20,15,1,12
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,560,Female,Research Scientist,Divorced,No,Y,3,26,1,23,Bachelor's Degree,1,1,90,3,1,4,2886,3032,1,22,4,2,80,2,3,1,3,2,0,2
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,562,Male,Laboratory Technician,Married,No,Y,3,30,1,3,Bachelor's Degree,1,3,53,3,1,4,2097,16734,4,15,3,3,80,1,9,1,5,3,1,4
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,564,Male,Research Director,Married,No,Y,2,29,1,3,Master's Degree,1,2,93,2,3,3,11935,21526,1,18,3,3,80,0,10,3,10,2,0,7
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Technical Degree,565,Female,Research Scientist,Married,No,Y,2,29,0,25,Doctoral Degree,1,3,71,2,1,2,2546,18300,5,16,3,2,80,0,6,4,2,2,1,1
Yes,Travel_Rarely,Under 25,Ex-Employees,HR,Technical Degree,566,Male,Human Resources,Single,No,Y,3,19,0,2,Associates Degree,1,1,52,2,1,4,2564,18437,1,12,3,3,80,0,1,4,1,0,0,0
No,Non-Travel,25 - 34,Current Employees,Sales,Other,567,Female,Sales Executive,Married,No,Y,3,30,1,22,Master's Degree,1,3,69,3,3,1,8412,2890,0,11,3,3,80,0,10,3,9,8,7,8
No,Travel_Rarely,Over 55,Current Employees,Sales,Marketing,568,Male,Manager,Divorced,No,Y,3,57,1,29,Bachelor's Degree,1,1,56,2,4,4,14118,22102,3,12,3,3,80,1,32,2,1,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,569,Male,Manager,Married,No,Y,2,50,1,29,Master's Degree,1,2,88,2,4,3,17046,9314,0,15,3,2,80,1,28,3,27,10,15,7
No,Non-Travel,25 - 34,Current Employees,R&D,Medical,571,Female,Laboratory Technician,Single,No,Y,2,30,1,2,Bachelor's Degree,1,3,49,3,1,4,2564,7181,0,14,3,3,80,0,12,2,11,7,6,7
No,Travel_Frequently,Over 55,Current Employees,Sales,Marketing,573,Female,Sales Executive,Married,No,Y,5,60,1,28,Bachelor's Degree,1,3,80,2,3,1,10266,2845,4,19,3,4,80,0,22,4,18,13,13,11
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,574,Female,Manufacturing Director,Divorced,No,Y,2,47,1,2,Associates Degree,1,1,65,3,2,4,5070,7389,5,13,3,3,80,3,20,3,5,0,0,4
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,575,Male,Research Director,Married,No,Y,2,46,1,2,Bachelor's Degree,1,1,51,3,4,3,17861,2288,6,13,3,3,80,0,26,1,3,2,0,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,577,Male,Laboratory Technician,Single,No,Y,2,35,1,22,Bachelor's Degree,1,4,46,1,1,3,4230,19225,0,15,3,3,80,0,6,3,5,4,4,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,578,Female,Laboratory Technician,Single,No,Y,3,54,1,8,Master's Degree,1,3,42,3,2,3,3780,23428,7,11,3,3,80,0,19,3,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,579,Male,Research Scientist,Divorced,No,Y,3,34,1,2,Master's Degree,1,4,62,2,1,3,2768,8416,3,12,3,3,80,1,14,3,7,3,5,7
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,580,Female,Sales Executive,Married,Yes,Y,3,46,1,10,Bachelor's Degree,1,3,94,2,3,4,9071,11563,2,19,3,3,80,1,15,3,3,2,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,581,Male,Manufacturing Director,Divorced,No,Y,6,31,1,9,High School,1,3,33,3,3,2,10648,14394,1,25,4,4,80,1,13,4,13,8,0,8
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,582,Male,Manager,Married,Yes,Y,2,33,0,15,High School,1,2,56,3,3,3,13610,24619,7,12,3,4,80,0,15,4,7,6,7,7
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,584,Male,Laboratory Technician,Divorced,No,Y,2,33,0,10,High School,1,1,38,1,1,4,3408,6705,7,13,3,1,80,3,8,3,4,3,1,3
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,585,Male,Sales Representative,Single,No,Y,3,30,1,7,High School,1,4,57,3,1,2,2983,18398,0,14,3,1,80,0,4,3,3,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,586,Male,Healthcare Representative,Married,Yes,Y,2,35,1,16,Bachelor's Degree,1,4,72,3,3,3,7632,14295,4,12,3,3,80,0,10,3,8,7,0,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,587,Male,Healthcare Representative,Married,No,Y,2,31,0,20,Bachelor's Degree,1,1,66,3,3,3,9824,22908,3,12,3,1,80,0,12,3,1,0,0,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Human Resources,590,Female,Human Resources,Divorced,Yes,Y,2,34,0,23,Bachelor's Degree,1,2,43,3,3,1,9950,11533,9,15,3,3,80,3,11,3,3,2,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Other,591,Male,Laboratory Technician,Married,No,Y,4,42,1,5,Associates Degree,1,2,97,3,1,3,2093,9260,4,17,3,4,80,1,8,3,2,2,2,0
No,Non-Travel,35 - 44,Current Employees,Sales,Medical,592,Male,Sales Executive,Single,No,Y,3,36,1,10,Master's Degree,1,2,32,3,3,4,9980,15318,1,14,3,4,80,0,10,2,10,3,9,7
Yes,Travel_Frequently,Under 25,Ex-Employees,R&D,Technical Degree,593,Male,Laboratory Technician,Single,No,Y,3,22,0,4,High School,1,3,99,2,1,3,3894,9129,5,16,3,3,80,0,4,3,2,2,1,2
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,595,Female,Sales Executive,Married,No,Y,2,48,1,2,Doctoral Degree,1,2,37,3,2,4,4051,19658,2,14,3,1,80,1,14,3,9,7,6,7
No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,597,Female,Manager,Single,No,Y,2,55,1,18,Doctoral Degree,1,1,83,3,4,2,16835,9873,3,23,4,4,80,0,37,3,10,9,7,7
No,Non-Travel,35 - 44,Current Employees,Sales,Life Sciences,599,Male,Sales Executive,Single,No,Y,3,41,1,10,Associates Degree,1,4,56,3,2,4,6230,13430,7,14,3,4,80,0,16,3,14,3,1,10
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,600,Male,Sales Executive,Married,No,Y,2,35,1,1,Bachelor's Degree,1,2,85,3,2,3,4717,18659,9,11,3,3,80,0,15,3,11,9,6,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,601,Female,Manufacturing Director,Single,No,Y,3,40,1,6,Bachelor's Degree,1,2,75,3,4,3,13237,20364,7,15,3,3,80,0,22,3,20,6,5,13
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,602,Female,Laboratory Technician,Married,No,Y,3,39,1,8,High School,1,3,48,3,1,3,3755,17872,1,11,3,1,80,1,8,3,8,3,0,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,604,Male,Sales Executive,Single,Yes,Y,2,31,1,2,High School,1,2,77,3,2,4,6582,8346,4,13,3,3,80,0,10,4,6,5,0,5
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,605,Male,Manufacturing Director,Married,Yes,Y,5,42,1,24,Bachelor's Degree,1,4,56,3,3,1,7406,6950,1,21,4,4,80,1,10,2,10,9,5,8
No,Travel_Rarely,45 - 54,Current Employees,Sales,Other,606,Male,Sales Executive,Married,No,Y,3,45,1,2,Bachelor's Degree,1,4,61,3,2,2,4805,16177,0,19,3,2,80,1,9,4,8,7,3,7
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Life Sciences,608,Female,Human Resources,Divorced,Yes,Y,2,26,0,17,Master's Degree,1,2,58,3,1,3,2741,22808,0,11,3,2,80,1,8,2,7,7,1,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Technical Degree,611,Male,Manufacturing Director,Divorced,No,Y,2,29,1,19,Bachelor's Degree,1,4,34,3,2,4,4262,22645,4,12,3,2,80,2,8,4,3,2,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,612,Female,Research Director,Divorced,No,Y,2,33,1,1,Doctoral Degree,1,1,95,4,4,3,16184,22578,4,19,3,3,80,1,10,3,6,1,0,5
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,613,Male,Manager,Divorced,No,Y,3,31,1,7,Bachelor's Degree,1,3,44,2,3,4,11557,25291,9,21,4,3,80,1,10,2,5,4,0,1
Yes,Travel_Frequently,Under 25,Ex-Employees,Sales,Marketing,614,Male,Sales Representative,Single,Yes,Y,3,18,0,5,Bachelor's Degree,1,2,69,3,1,2,1878,8059,1,14,3,4,80,0,0,3,0,0,0,0
No,Non-Travel,35 - 44,Current Employees,Sales,Other,615,Male,Sales Executive,Divorced,No,Y,2,40,1,28,Bachelor's Degree,1,3,58,1,3,1,10932,11373,3,15,3,3,80,1,20,3,1,0,0,1
No,Non-Travel,35 - 44,Current Employees,R&D,Other,616,Female,Healthcare Representative,Single,Yes,Y,3,41,1,2,Master's Degree,1,1,62,2,2,3,6811,2112,2,17,3,1,80,0,10,3,8,7,0,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,618,Male,Sales Executive,Divorced,No,Y,5,26,1,29,Associates Degree,1,1,45,3,2,3,4306,4267,5,12,3,1,80,2,8,3,0,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Medical,620,Female,Sales Executive,Single,No,Y,3,35,1,1,Bachelor's Degree,1,1,80,3,2,3,4859,6698,1,16,3,4,80,0,5,3,5,4,0,3
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,621,Male,Sales Executive,Single,No,Y,3,34,1,21,Master's Degree,1,4,74,4,2,4,5337,19921,1,12,3,4,80,0,10,3,10,7,5,7
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Technical Degree,622,Male,Laboratory Technician,Single,Yes,Y,3,26,0,24,Bachelor's Degree,1,3,66,1,1,4,2340,23213,1,18,3,2,80,0,1,1,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Technical Degree,623,Female,Manufacturing Director,Single,No,Y,3,37,1,1,Bachelor's Degree,1,2,59,3,3,4,7491,23848,4,17,3,4,80,0,12,4,6,5,1,2
No,Travel_Frequently,45 - 54,Current Employees,R&D,Medical,624,Female,Healthcare Representative,Married,No,Y,3,46,1,18,High School,1,1,86,3,3,3,10527,8984,5,11,3,4,80,0,28,2,2,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,Sales,Life Sciences,625,Female,Manager,Married,No,Y,2,41,1,2,Doctoral Degree,1,2,91,3,4,1,16595,5626,7,16,3,2,80,1,22,3,18,16,11,8
No,Non-Travel,35 - 44,Current Employees,Sales,Medical,626,Male,Sales Executive,Divorced,No,Y,6,37,1,9,Master's Degree,1,1,69,3,3,2,8834,24666,1,13,3,4,80,1,9,3,9,5,7,7
No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,630,Male,Research Scientist,Divorced,Yes,Y,3,52,1,6,Associates Degree,1,4,78,3,2,1,5577,22087,3,12,3,2,80,2,18,3,10,9,6,9
Yes,Non-Travel,25 - 34,Ex-Employees,Sales,Other,631,Male,Sales Executive,Married,No,Y,2,32,0,11,Master's Degree,1,4,60,4,2,3,4707,23914,8,12,3,4,80,0,6,3,4,2,1,2
No,Travel_Frequently,Under 25,Current Employees,Sales,Medical,632,Male,Sales Representative,Married,No,Y,3,24,1,24,Bachelor's Degree,1,4,38,3,1,4,2400,5530,0,13,3,3,80,2,3,3,2,2,2,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,634,Female,Healthcare Representative,Married,No,Y,4,38,1,10,Bachelor's Degree,1,3,76,3,2,3,9824,22174,3,19,3,3,80,1,18,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,635,Female,Manufacturing Director,Married,No,Y,2,37,1,1,Master's Degree,1,2,65,3,2,2,6447,15701,6,12,3,2,80,1,8,2,6,5,4,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,638,Male,Research Director,Divorced,Yes,Y,5,49,1,18,Master's Degree,1,4,58,2,5,3,19502,2125,1,17,3,3,80,1,31,3,31,9,0,9
No,Travel_Rarely,Under 25,Current Employees,R&D,Medical,639,Male,Research Scientist,Married,Yes,Y,3,24,1,23,Bachelor's Degree,1,2,89,4,1,4,2725,21630,1,11,3,2,80,2,6,3,6,5,1,4
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,641,Male,Sales Executive,Married,No,Y,5,26,1,28,Associates Degree,1,1,66,3,2,2,6272,7428,1,20,4,4,80,2,6,4,5,3,1,4
No,Travel_Rarely,Under 25,Current Employees,R&D,Other,643,Male,Laboratory Technician,Married,No,Y,2,24,1,17,Associates Degree,1,4,94,2,1,2,2127,9100,1,21,4,4,80,1,1,3,1,0,0,0
No,Travel_Frequently,45 - 54,Current Employees,HR,Medical,644,Male,Manager,Married,No,Y,2,50,1,3,Bachelor's Degree,1,1,99,3,5,2,18200,7999,1,11,3,3,80,1,32,3,32,5,10,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,645,Male,Sales Representative,Married,No,Y,1,25,1,13,High School,1,2,40,3,1,3,2096,26376,1,11,3,3,80,0,7,3,7,4,0,6
Yes,Travel_Frequently,Under 25,Ex-Employees,R&D,Life Sciences,647,Female,Laboratory Technician,Married,Yes,Y,4,24,0,7,Bachelor's Degree,1,1,55,3,1,3,2886,14168,1,16,3,4,80,1,6,3,6,3,1,2
Yes,Travel_Frequently,25 - 34,Ex-Employees,Sales,Life Sciences,648,Male,Sales Representative,Married,No,Y,2,30,0,12,Master's Degree,1,2,74,2,1,1,2033,14470,1,18,3,3,80,1,1,4,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,649,Male,Research Scientist,Married,Yes,Y,3,34,1,1,Associates Degree,1,2,83,2,1,4,3622,22794,1,13,3,4,80,1,6,3,6,5,1,3
Yes,Travel_Rarely,25 - 34,Ex-Employees,Sales,Medical,650,Male,Sales Executive,Divorced,No,Y,2,31,0,13,Master's Degree,1,2,46,3,2,1,4233,11512,2,17,3,3,80,0,9,1,3,1,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,652,Male,Laboratory Technician,Single,No,Y,3,35,1,25,Associates Degree,1,1,54,2,2,4,3681,14004,4,14,3,4,80,0,9,3,3,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,653,Male,Sales Executive,Divorced,No,Y,4,31,1,6,Master's Degree,1,1,66,4,2,4,5460,6219,4,22,4,4,80,2,13,4,7,7,5,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,655,Female,Research Scientist,Divorced,No,Y,5,27,1,6,Master's Degree,1,1,66,2,1,3,2187,5013,0,12,3,3,80,2,6,2,5,3,0,3
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,656,Male,Sales Executive,Married,Yes,Y,3,37,1,2,Bachelor's Degree,1,4,75,3,2,3,9602,3010,4,11,3,3,80,1,17,2,3,0,1,0
No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,657,Female,Research Scientist,Single,No,Y,0,20,1,1,Bachelor's Degree,1,4,83,2,1,2,2836,11757,1,13,3,4,80,0,1,4,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,659,Female,Healthcare Representative,Married,No,Y,4,42,1,2,Master's Degree,1,3,81,3,2,4,4089,5718,1,13,3,2,80,2,10,3,10,2,2,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,661,Male,Research Director,Divorced,Yes,Y,3,43,1,6,Master's Degree,1,2,50,2,4,4,16627,2671,4,14,3,3,80,1,21,2,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,662,Female,Research Scientist,Single,No,Y,3,38,1,1,High School,1,3,43,3,1,1,2619,14561,3,17,3,4,80,0,8,2,0,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,663,Male,Laboratory Technician,Divorced,Yes,Y,3,43,1,9,Doctoral Degree,1,4,72,3,2,3,5679,19627,3,13,3,2,80,1,10,3,8,7,4,7
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,664,Female,Manager,Married,No,Y,3,48,1,1,Master's Degree,1,4,40,2,4,1,15402,17997,7,11,3,1,80,1,21,1,3,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,665,Female,Human Resources,Single,No,Y,1,44,1,1,Master's Degree,1,1,50,2,2,3,5985,26894,4,11,3,2,80,0,10,4,2,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,666,Female,Sales Representative,Divorced,Yes,Y,3,34,1,14,Bachelor's Degree,1,3,31,3,1,3,2579,2912,1,18,3,4,80,2,8,3,8,2,0,6
Yes,Travel_Rarely,25 - 34,Ex-Employees,Sales,Marketing,667,Male,Sales Representative,Divorced,No,Y,3,27,0,2,High School,1,3,85,3,1,1,3041,16346,0,11,3,2,80,1,5,3,4,3,0,2
No,Travel_Rarely,Under 25,Current Employees,Sales,Technical Degree,669,Male,Sales Representative,Single,No,Y,2,21,1,22,High School,1,3,49,3,1,3,3447,24444,1,11,3,3,80,0,3,3,3,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,671,Male,Manager,Married,Yes,Y,2,44,1,3,Master's Degree,1,4,35,3,5,4,19513,9358,4,12,3,1,80,1,26,4,2,2,0,1
No,Travel_Rarely,Under 25,Current Employees,R&D,Medical,675,Male,Research Scientist,Married,No,Y,3,22,1,6,High School,1,1,69,3,1,3,2773,12145,0,20,4,4,80,0,3,3,2,2,2,2
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,677,Male,Sales Executive,Divorced,No,Y,3,33,1,8,Master's Degree,1,3,39,3,2,3,7104,20431,0,12,3,4,80,0,6,3,5,0,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,679,Female,Research Scientist,Married,Yes,Y,2,32,1,9,Master's Degree,1,1,92,3,2,4,6322,18089,1,12,3,4,80,1,6,2,6,4,0,5
No,Travel_Frequently,25 - 34,Current Employees,R&D,Medical,680,Female,Research Scientist,Divorced,No,Y,2,30,1,3,Bachelor's Degree,1,3,71,3,1,3,2083,22653,1,20,4,3,80,1,1,3,1,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,Sales,Medical,682,Female,Sales Executive,Single,No,Y,2,53,1,1,High School,1,4,34,3,2,1,8381,7507,7,20,4,4,80,0,18,4,14,7,8,10
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,683,Male,Research Scientist,Married,No,Y,4,34,1,1,Doctoral Degree,1,2,42,3,1,4,2691,7660,1,12,3,4,80,1,10,2,10,9,8,8
Yes,Travel_Frequently,45 - 54,Ex-Employees,Sales,Life Sciences,684,Female,Sales Executive,Married,No,Y,4,45,0,26,Master's Degree,1,1,100,3,2,1,4286,5630,2,14,3,4,80,2,5,3,1,1,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,686,Female,Laboratory Technician,Married,Yes,Y,2,26,1,6,Bachelor's Degree,1,3,71,3,1,4,2659,17759,1,13,3,3,80,1,3,3,3,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,689,Male,Manufacturing Director,Married,No,Y,2,37,1,3,Bachelor's Degree,1,3,36,3,3,3,9434,9606,1,15,3,3,80,1,10,3,10,7,7,8
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,690,Female,Sales Executive,Married,No,Y,5,29,1,3,Associates Degree,1,2,62,3,2,3,5561,3487,1,14,3,1,80,1,6,2,6,0,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,691,Male,Research Scientist,Single,No,Y,3,35,1,6,Master's Degree,1,2,82,1,2,4,6646,19368,1,13,3,2,80,0,17,3,17,11,11,8
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,692,Male,Healthcare Representative,Divorced,No,Y,2,33,1,6,Bachelor's Degree,1,3,30,3,2,4,7725,5335,3,23,4,3,80,1,15,1,13,11,4,7
No,Travel_Rarely,45 - 54,Current Employees,HR,Medical,698,Male,Human Resources,Married,No,Y,1,54,1,19,Master's Degree,1,3,88,3,3,2,10725,6729,2,15,3,3,80,1,16,4,9,7,7,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,699,Male,Manufacturing Director,Divorced,Yes,Y,2,36,1,9,Associates Degree,1,2,48,2,2,2,8847,13934,2,11,3,3,80,1,13,3,3,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,700,Male,Research Scientist,Single,No,Y,0,27,1,3,Master's Degree,1,1,54,2,1,4,2045,15174,0,13,3,4,80,0,5,3,4,2,1,1
Yes,Travel_Rarely,Under 25,Ex-Employees,R&D,Medical,701,Male,Research Scientist,Single,Yes,Y,5,20,0,10,High School,1,4,32,3,1,3,1009,26999,1,11,3,4,80,0,1,3,1,0,1,1
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,702,Male,Research Scientist,Single,Yes,Y,3,33,0,3,Bachelor's Degree,1,1,70,3,1,1,3348,3164,1,11,3,1,80,0,10,3,10,8,9,7
